1	9.2e-08	9.7e-08	1.58e-07		8.4e-08	8.2e-08	9.7e-08
2	1.59e-07	1.28e-07	1.62e-07		1.2e-07	9.9e-08	1.2e-07
3	2.22e-07	2.14e-07	1.6e-07		1.56e-07	1.55e-07	1.11e-07
4	1.36e-07	1.51e-07	2.06e-07		1.1e-07	1.11e-07	1.42e-07
5	1.51e-07	1.36e-07	2.59e-07		1.05e-07	1.02e-07	1.65e-07
6	3.23e-07	2.14e-07	2.63e-07		3.24e-07	1.61e-07	1.57e-07
7	9.6e-08	1.19e-07	2.27e-07		7.2e-08	7.6e-08	1.24e-07
8	7.5e-08	8.2e-08	1.07e-07		5.1e-08	5.3e-08	5.5e-08
9	8e-08	1.11e-07	8.3e-08		6e-08	9.1e-08	4.8e-08
10	5.2e-08	4.9e-08	8.7e-08		3.6e-08	3.6e-08	3.9e-08
11	7.3e-08	4.6e-08	8.1e-08		4.5e-08	4e-08	4.1e-08
12	5.7e-08	4.9e-08	9.5e-08		4e-08	3.4e-08	4.6e-08
13	6.2e-08	5.4e-08	1.21e-07		3.6e-08	3.2e-08	5e-08
14	7.3e-08	5.6e-08	1.46e-07		4.4e-08	3.7e-08	5.7e-08
15	8.2e-08	6.1e-08	1.23e-07		5.3e-08	6.6e-08	5.2e-08
16	8.3e-08	8.6e-08	1.25e-07		5.1e-08	2.42e-07	5.7e-08
17	7.3e-08	6.5e-08	1.33e-07		4.4e-08	4.2e-08	5e-08
18	1.13e-07	2.03e-07	2.05e-07		6.9e-08	5.1e-08	8.6e-08
19	3.04e-07	6.9e-08	1.18e-07		3.28e-07	4.8e-08	6.1e-08
20	9.8e-08	7e-08	1.59e-07		5.7e-08	4.8e-08	7.2e-08
21	9.6e-08	7.4e-08	1.15e-07		8.2e-08	5.1e-08	5.5e-08
22	1.1e-07	9.9e-08	2.26e-07		6.7e-08	5.9e-08	7e-08
23	1.49e-07	8.2e-08	1.64e-07		6.7e-08	5.3e-08	6.3e-08
24	2.13e-07	1.08e-07	1.73e-07		9.5e-08	7.6e-08	6.7e-08
25	1.63e-07	1.11e-07	1.99e-07		7.2e-08	6.2e-08	1.03e-07
26	5.12e-07	9.7e-08	7.25e-07		7.6e-08	6.1e-08	7.9e-08
27	2.2e-07	1.53e-07	2.48e-07		9.2e-08	9.6e-08	7.6e-08
28	4.19e-07	1.53e-07	2.13e-07		8.9e-08	1.11e-07	8.3e-08
29	3.84e-07	9.7e-08	2.12e-07		9.9e-08	6.2e-08	8.2e-08
30	2.07e-07	1.12e-07	3.48e-07		9.3e-08	6.4e-08	2.4e-07
31	2.87e-07	1.08e-07	2.39e-07		3.15e-07	7.2e-08	2.75e-07
32	4.49e-07	1.39e-07	5.67e-07		1.27e-07	9e-08	2.14e-07
33	1.3e-06	7.99e-07	9.34e-07		5.88e-07	4.98e-07	4.11e-07
34	6.05e-07	9.16e-07	6.93e-07		3.27e-07	5.03e-07	3.23e-07
35	7.09e-07	6.63e-07	6.95e-07		3.59e-07	3.94e-07	3.61e-07
36	7.1e-07	7.35e-07	9.5e-07		3.74e-07	4.72e-07	4.25e-07
37	6.62e-07	6.5e-07	6.31e-07		3.57e-07	3.87e-07	2.6e-07
38	3.53e-07	2.69e-07	2.98e-07		8.5e-08	8.4e-08	9.7e-08
39	2.69e-07	1.43e-07	2.74e-07		1.26e-07	8.5e-08	1.01e-07
40	1.96e-07	1.43e-07	2.85e-07		8.9e-08	9.3e-08	9.5e-08
41	2.18e-07	1.27e-07	4.2e-07		1.01e-07	7.9e-08	1.05e-07
42	3.804e-06	1.31e-07	3.72e-07		3.05e-07	7.7e-08	1.14e-07
43	2.35e-07	1.232e-06	3.34e-07		1.07e-07	1.4e-07	1.04e-07
44	4.84e-07	2.72e-07	5.56e-07		1.66e-07	1.68e-07	1.37e-07
45	2.52e-07	1.56e-07	3.87e-07		1.05e-07	9.8e-08	1.28e-07
46	2.06e-07	1.39e-07	4.71e-07		1.08e-07	8.8e-08	1.21e-07
47	2.51e-07	1.35e-07	3.23e-07		1.08e-07	8.7e-08	9.9e-08
48	3.48e-07	1.97e-07	3.87e-07		1.37e-07	1.28e-07	1.2e-07
49	5.1e-07	1.47e-07	4.63e-07		1.39e-07	9.7e-08	1.27e-07
50	2.77e-07	1.3e-07	3.26e-07		3.17e-07	8.4e-08	1.07e-07
